word,pos_tag,spoken_frequency_zipf,log_phonotactic_probability,lexical_competition_risk,phonetic_instability,cluster_label
causing,VERB,4.53,-5.346961541374432,0.0,0,0
closely,ADV,4.53,-5.857951654654586,0.0,0,0
constantly,ADV,4.53,-4.7075396238269285,0.0,2,1
contest,NOUN,4.53,-4.502999953877398,9.63,1,0
deaths,NOUN,4.53,-7.324604945956939,5.4,1,3
depends,NOUN,4.53,-5.37488744412038,0.0,1,0
drawn,NOUN,4.53,-6.849901551373288,4.81,0,3
fees,NOUN,4.53,-6.275877302937426,38.54,1,3
francisco,NOUN,4.53,-5.314578871026858,0.0,0,0
hardly,ADV,4.53,-5.63872814906862,0.0,1,0
hat,NOUN,4.53,-6.471153326370432,63.370000000000005,1,4
height,NOUN,4.53,-6.746538196519603,103.10000000000002,1,4
hidden,NOUN,4.53,-4.669996748605627,0.0,1,0
hong,NOUN,4.53,-7.822946615412991,30.42,0,3
invited,VERB,4.53,-4.924568613191489,0.0,2,1
letting,VERB,4.53,-4.86886493515795,10.34,0,0
loud,NOUN,4.53,-8.338963327525539,28.94,1,3
manchester,NOUN,4.53,-5.289936583622728,0.0,0,0
marine,NOUN,4.53,-6.556619648752729,5.53,0,3
motor,NOUN,4.53,-5.843641271721624,5.38,0,0
officially,ADV,4.53,-5.037283217060629,9.82,2,1
pc,NOUN,4.53,-6.342987073291979,10.06,0,3
peak,NOUN,4.53,-6.576848500833806,44.78999999999999,1,3
portion,NOUN,4.53,-4.758904285930133,0.0,1,0
pounds,NOUN,4.53,-6.092001160955895,4.97,1,0
princess,NOUN,4.53,-4.778487205585379,0.0,1,0
protein,NOUN,4.53,-5.803197367279518,0.0,0,0
puts,NOUN,4.53,-6.103044362579725,5.66,1,0
raw,NOUN,4.53,-6.272586848646043,42.24999999999999,0,3
reform,NOUN,4.53,-5.500864488063597,0.0,1,0
regions,NOUN,4.53,-4.72257629269112,9.93,2,1
represented,VERB,4.53,-5.1605225751375565,0.0,3,1
respond,NOUN,4.53,-5.361131508615467,5.03,1,0
retirement,NOUN,4.53,-4.913750445642709,0.0,2,1
sample,NOUN,4.53,-5.237342688361424,5.08,1,0
seats,NOUN,4.53,-5.654855177032848,14.25,1,0
secondary,ADJ,4.53,-4.795692880366145,0.0,1,0
solar,NOUN,4.53,-6.576482249128616,18.85,0,3
somehow,NOUN,4.53,-5.717679593841932,0.0,0,0
stayed,NOUN,4.53,-5.142670092890496,20.78,1,0
suffering,VERB,4.53,-4.984368311720536,0.0,0,0
sydney,NOUN,4.53,-5.729792830088432,0.0,0,0
tries,NOUN,4.53,-5.607514571796864,24.75,1,0
ultimate,ADJ,4.53,-4.830451019663942,0.0,3,1
unknown,ADJ,4.53,-4.909165939194559,0.0,1,0
wilson,NOUN,4.53,-4.82876633971132,0.0,1,0
wondering,VERB,4.53,-4.6771152681065145,0.0,0,0
attached,VERB,4.52,-5.983262277878123,4.52,2,1
attacked,VERB,4.52,-5.47693937511741,14.29,2,1
automatically,ADV,4.52,-5.549109645458369,0.0,1,0
balls,NOUN,4.52,-6.475511929841368,23.72,1,3
battery,NOUN,4.52,-5.882312428669437,0.0,0,0
bills,NOUN,4.52,-5.917337146571564,24.24,1,0
blind,NOUN,4.52,-5.6831096378668615,0.0,1,0
breath,NOUN,4.52,-6.122671785529637,4.5,1,0
brief,NOUN,4.52,-5.453405151988303,0.0,1,0
carolina,NOUN,4.52,-5.082501396503558,0.0,2,1
chest,NOUN,4.52,-5.093761500870608,35.220000000000006,1,0
conduct,NOUN,4.52,-4.692126655394261,0.0,2,1
debut,NOUN,4.52,-6.6981915170444495,0.0,0,3
decade,NOUN,4.52,-6.163245056467059,4.58,1,0
destroy,NOUN,4.52,-4.8725700076193545,4.61,1,0
differences,NOUN,4.52,-4.859264044738296,0.0,2,1
edward,NOUN,4.52,-6.623050133182807,0.0,1,3
engaged,VERB,4.52,-6.3724790231202055,0.0,1,3
experts,NOUN,4.52,-5.4988900668118745,4.56,2,1
expressed,VERB,4.52,-5.042842936419206,4.68,2,1
external,ADJ,4.52,-4.760189075934037,0.0,2,1
fantasy,NOUN,4.52,-5.056515371678047,0.0,1,0
grab,NOUN,4.52,-5.941848057772581,0.0,1,0
hollywood,NOUN,4.52,-6.297848412995935,0.0,1,3
immediate,NOUN,4.52,-5.746578290881491,0.0,2,1
introduction,NOUN,4.52,-4.731799736926263,0.0,3,1
joseph,NOUN,4.52,-6.553162501247729,0.0,2,1
license,NOUN,4.52,-4.76274957044417,0.0,2,1
paint,NOUN,4.52,-5.430706554593782,10.57,1,0
pilot,NOUN,4.52,-5.530100632947593,0.0,2,1
pink,NOUN,4.52,-5.0335436993316325,20.92,1,0
presidential,ADJ,4.52,-5.281955947540838,0.0,2,1
principal,NOUN,4.52,-4.69209829371743,0.0,2,1
recognize,VERB,4.52,-5.752964315520936,4.52,2,1
recognized,VERB,4.52,-5.842482630925788,4.52,2,1
registered,VERB,4.52,-5.188727805920181,4.59,1,0
regularly,ADV,4.52,-5.317343215614557,0.0,1,0
representatives,NOUN,4.52,-5.20807454962221,4.57,3,1
rising,VERB,4.52,-5.19125290343358,9.56,0,0
seasons,NOUN,4.52,-4.842525497662147,10.41,2,1
shipping,NOUN,4.52,-5.254130160708379,4.68,0,0
singer,NOUN,4.52,-4.94878507069519,4.54,0,0
smoking,NOUN,4.52,-5.508495335472223,0.0,0,0
steam,NOUN,4.52,-5.052460917083115,29.360000000000003,0,0
suffered,VERB,4.52,-5.816869429182444,0.0,1,0
survive,NOUN,4.52,-6.988184728097171,0.0,1,3
tall,NOUN,4.52,-6.75583279402403,55.6,0,4
theatre,NOUN,4.52,-5.397596411889995,0.0,1,0
therapy,NOUN,4.52,-5.593349047997086,0.0,1,0
witness,NOUN,4.52,-5.383502775269231,0.0,2,1
adopted,VERB,4.51,-5.704858052883134,0.0,3,1
aim,NOUN,4.51,-7.53526454296121,45.77,0,3
campus,NOUN,4.51,-5.548187409883854,0.0,2,1
cap,NOUN,4.51,-6.353927638671603,44.21999999999999,1,3
chances,NOUN,4.51,-5.355768529117066,0.0,2,1
childhood,NOUN,4.51,-7.2952134887978435,0.0,2,3
clinical,ADJ,4.51,-4.58290295127461,0.0,2,1
clubs,NOUN,4.51,-5.640911906278765,5.2,1,0
comedy,NOUN,4.51,-5.636462201181759,0.0,1,0
commander,NOUN,4.51,-5.173699077882527,4.7,1,0
comparison,NOUN,4.51,-4.757924008541557,0.0,3,1
covers,NOUN,4.51,-5.438890637961608,14.37,1,0
dan,NOUN,4.51,-5.5458791306037005,50.46,0,4
defeat,NOUN,4.51,-5.864384419214855,0.0,1,0
defence,NOUN,4.51,-5.374753585427461,4.47,1,0
democracy,NOUN,4.51,-5.335298828696256,0.0,1,0
detailed,ADJ,4.51,-5.658822493424265,9.48,1,0
entitled,VERB,4.51,-4.975119995211299,0.0,2,1
exact,NOUN,4.51,-6.141729453009619,0.0,1,0
exposed,VERB,4.51,-5.67410232055479,0.0,2,1
fed,NOUN,4.51,-6.580201263165815,67.65,1,4
fee,NOUN,4.51,-7.29368250071726,92.08,0,4
injured,ADJ,4.51,-4.972667769702245,4.74,1,0
jordan,NOUN,4.51,-4.772023199958233,0.0,1,0
kinds,NOUN,4.51,-6.102123519272572,10.06,1,0
lets,NOUN,4.51,-5.670343830105493,35.5,1,0
loans,NOUN,4.51,-5.968994891261043,14.36,1,0
lock,NOUN,4.51,-6.522608531137539,45.5,1,3
musical,ADJ,4.51,-5.146015251407005,0.0,1,0
nose,ADV,4.51,-6.867131704145765,46.34,1,3
objects,NOUN,4.51,-5.71296954686537,4.56,1,0
opposed,VERB,4.51,-6.52790203918378,4.91,2,1
organized,VERB,4.51,-5.134806629054457,0.0,2,1
plastic,NOUN,4.51,-4.980806625359328,0.0,1,0
protected,VERB,4.51,-5.0825449151646085,0.0,3,1
